QSV erhalten;QSV erhalten;QSV erhalten
Punkte;Punkte;Punkte
QAA;QAA;QSV
QM-System / Zertifikate;QM-System / Zertifikate;QM-System / Zertifikate
QM-System / Certificates;QM-System / Certificates;QM-System / Zertifikate
Zertifizierung;Zertifizierung;Zertifizierung
Percentage Certification;Percentage Certification;Anteil Zertifizierung
Bewertung / Audit per Datum;Bewertung / Audit per Datum;Bewertung / Audit per Datum
Beurteilung / Audits;Beurteilung / Audits;Beurteilung / Audits
Percentage Assessment / Audits;Percentage Assessment / Audits;Anteil Beurteilung / Audits
Quality;Quality;Qualität
Weighting Quality;Weighting Quality;Gewichtung Qualität
Score;Score;Punkte
until Date;until Date;bis Datum
Lieferantenselbstauskunft;Lieferantenselbstauskunft;Lieferantenselbstauskunft
Z99_50115;Z99_50115;Z99_50115
Z99_50118;Z99_50118;Z99_50118
Z99_50316;Z99_50316;Z99_50316
Z99_50317;Z99_50317;Z99_50317
Z99_50318;Z99_50318;Z99_50318
Z99_50319;Z99_50319;Z99_50319
Z99_50320;Z99_50320;Z99_50320
Suplierrating Template;Suplierrating Template;Lieferantenbewertung Vorlage
No of Rating;No of Rating;Anzahl Bewertungen
T27 Kundennr. WZB alt;T27 Kundennr. WZB alt;T27 Kundennr. WZB alt
Artikelnr.;Artikelnr.;Artikelnr.
Kundennr.;Kundennr.;Kunden Nr.
Tool Center;Tool Center;Betriebsmittel
You cannot delete %1 %2 because there exists at least one %3 associated with it.;You cannot delete %1 %2 because there exists at least one %3 associated with it.;Sie können dieses Betriebsmittel nicht löschen, das es in Arbeitsplänen oder Fertigungsaufträgen verwendet wird.
Beschreibung: %1;Beschreibung: %1;Beschreibung: %1
"Indexänderung: von ""%1"" auf ""%2"", veranlasst durch ""%3"" am ""%4""";"Indexänderung: von ""%1"" auf ""%2"", veranlasst durch ""%3"" am ""%4""";"Indexänderung: von ""%1"" auf ""%2"", veranlasst durch ""%3"" am ""%4"""
empty;empty;leer
This tool already has some overlaping FAs;This tool already has some overlaping FAs;Dieses Werkzeug hat bereit überschneidende FAs
This tool already has some FAs in this period;This tool already has some FAs in this period;Dieses Werkzeug hat bereits FAs in dieser periode
löschen;löschen;löschen
Archiviert;Archiviert;Archiviert
Gesperrt von;Gesperrt von;Gesperrt von
Gesperrt bis;Gesperrt bis;Gesperrt bis
Corr. Strokes;Corr. Strokes;korrig. Hubzahl Revision
ist aktuell;ist aktuell;ist aktuell
 ,im Sperrlager,Extern,im Lager für Fremd-WZ,in Reparatur,beim Kunden; ,im Sperrlager,Extern,im Lager für Fremd-WZ,in Reparatur,beim Kunden; ,im Sperrlager,Extern,im Lager für Fremd-WZ,in Reparatur,beim Kunden
Kunden-Werkzeugnummer;Kunden-Werkzeugnummer;Kunden Werkzeug Nr.
Search Name;Search Name;Suchbegriff
ZeichnungsNr;ZeichnungsNr;ZeichnungsNr
New guar. Strokes;New guar. Strokes;garant. Hubzahl Revision
Guar. Strokes;Guar. Strokes;garantierte Hubzahl
caused at;caused at;veranlasst am
caused by;caused by;veranlasst durch
Änderungsbeschreibung;Änderungsbeschreibung;Änderungsbeschreibung
in Revisionsperiode;in Revisionsperiode;in Revisionsperiode
Revision;Revision;Revision
Keine Mehrfachverwendung;Keine Mehrfachverwendung;Keine Mehrfachverwendung
gehört;gehört;gehört
Blatt Format;Blatt Format;Blatt Format
 ,A4,A3,A2,A1,A0; ,A4,A3,A2,A1,A0; ,A4,A3,A2,A1,A0
Fachzahl;Fachzahl;Fachzahl
Used in Prod. Order;Used in Prod. Order;Verwendet in FA
made by;made by;erstellt durch
Prod. Qty. until 29.02.12;Prod. Qty. until 29.02.12;Fertigung bis 29.02.12
Betriebnahme;Betriebnahme;Betriebnahme
Used in Routing Tool;Used in Routing Tool;Verwendet in Arbeitsplan
incl. Scrap;incl. Scrap;inkl. Ausschuss
Lagerplatz;Lagerplatz;Lagerplatz
DatumstempelArt;DatumstempelArt;DatumstempelArt
WZ-Spezifikation;WZ-Spezifikation;WZ-Spezifikation
 ,Tool,Application,Stamping Tool,Support,Drawing,,,,Film; ,Tool,Application,Stamping Tool,Support,Drawing,,,,Film; ,Werkzeug,WZ-Einsatz,Stanz-WZ,Hilfsmittel,Zeichnung,,,,Film
Gewicht (kg);Gewicht (kg);Gewicht (kg)
Z00_50022;Z00_50022;Z00_50022
Tool Specification;Tool Specification;WZ Spezifikation
Text;Text;Text
Tool used for;Tool used for;WZ-Logo/Einsatz
Logo/Einsatz;Logo/Einsatz;Logo/Einsatz
Werkzeug;Werkzeug;Werkzeug
Transfer Vendor Bank;Transfer Vendor Bank;Kreditorenbanken übertragen
You must specify either a Bank Account No. or an IBAN.;You must specify either a Bank Account No. or an IBAN.;Sie müssen eine Bankkontonummer oder eine IBAN angeben.
The Clearing No is only used with Payment Type EZ Bank.;The Clearing No is only used with Payment Type EZ Bank.;Die Clearingnummer wird nur bei Zahlungsart EZ Bank verwendet.
The Post Account is only used with domestic post remittance.;The Post Account is only used with domestic post remittance.;Das Postcheckkonto wird nur bei Postüberweisungen im Inland verwendet.
The ESR Account is only used with ESR and ESR+.;The ESR Account is only used with ESR and ESR+.;Das ESR-Konto wird nur bei ESR und ESR+ verwendet.
When using an ESR-Account, the ESR-Type must be defined previously.;When using an ESR-Account, the ESR-Type must be defined previously.;Bei Verwendung von einem ESR-Konto muss zuerst die ESR Art festgelegt werden.
The ESR Account for ESR 5/15 must have 5 digits.;The ESR Account for ESR 5/15 must have 5 digits.;Das ESR-Konto muss für ESR 5/15 5 stellig sein.
The Checksum for this ESR Account is incorrect.;The Checksum for this ESR Account is incorrect.;Prüfziffer für dieses ESR-Konto ist nicht korrekt.
The Starting Position of the Invoice is only used for ESR and ESR+.;The Starting Position of the Invoice is only used for ESR and ESR+.;Die Anfangsposition der Rechnungsnummer wird nur bei ESR und ESR+ verwendet.
The Length of the Invoice is only used for ESR and ESR+.;The Length of the Invoice is only used for ESR and ESR+.;Die Länge der Rechnungsnummer wird nur bei ESR und ESR+ verwendet.
Address;Address;Adresse
Address 2;Address 2;Adresse 2
Balance Account No.;Balance Account No.;Gegenkontonr.
Bank Account No.;Bank Account No.;Bankkontonummer
Bank Branch No.;Bank Branch No.;Clearing Nummer
Bank Identifier Code;Bank Identifier Code;Ausland Clearing Nummer
City;City;Ort
Clearing No.;Clearing No.;Clearingnr.
Contact;Contact;Kontakt
Country/Region Code;Country/Region Code;Länder-/Regionscode
County;County;Kanton
Debit Bank;Debit Bank;Belastungsbank
E-Mail;E-Mail;E-Mail
ESR Account No.;ESR Account No.;ESR Kontonr.
ESR Type;ESR Type;ESR Art
 ,5/15,9/27,9/16; ,5/15,9/27,9/16; ,5/15,9/27,9/16
Fax No.;Fax No.;Fax
Giro Account No.;Giro Account No.;Postkontonr.
Home Page;Home Page;Homepage
IBAN;IBAN;IBAN
Invoice No. Length;Invoice No. Length;Rechnungsnr. Länge
Invoice No. Startposition;Invoice No. Startposition;Rechnungsnr. Startpos
Payment Fee Code;Payment Fee Code;Zahlungsgebührencode
 ,Own,Beneficiary,Share; ,Own,Beneficiary,Share; ,Eigen,Begünstigter,Teilen
Payment Form;Payment Form;Zahlungsart
ESR,ESR+,Post Payment Domestic,Bank Payment Domestic,Cash Outpayment Order Domestic,Post Payment Abroad,Bank Payment Abroad,SWIFT Payment Abroad,Cash Outpayment Order Abroad;ESR,ESR+,Post Payment Domestic,Bank Payment Domestic,Cash Outpayment Order Domestic,Post Payment Abroad,Bank Payment Abroad,SWIFT Payment Abroad,Cash Outpayment Order Abroad;ESR,ESR+,Postzahlung Inland,Bankzahlung Inland,Zahlungsanweisung Inland,Postzahlung Ausland,Bankzahlung Ausland,SWIFT-Zahlung Ausland,Postanweisung Ausland
Phone No.;Phone No.;Telefon
SWIFT Code;SWIFT Code;SWIFT-Code
Telex Answer Back;Telex Answer Back;Telex Namengeber
Telex No.;Telex No.;Telex
Transit No.;Transit No.;Transitnr.
Prämie(%);Prämie(%);Prämie %
Rabatt(%);Rabatt(%);Rabatt %
Zuschlag(%);Zuschlag(%);Zuschlag %
Unused Variables;Unused Variables;Ungenutzte Variablen
Array;Array;Array
Complicated;Complicated;Kompliziert
Data Type;Data Type;Datentyp
Global;Global;Global
Not in Use;Not in Use;Nicht in Gebrauch
Number Use;Number Use;Anzahl Verwendungen
ObjectNo;ObjectNo;Objekt Nr.
Start;Start;Start
Start Event;Start Event;Start Event
Stop;Stop;Stop
Stop Event;Stop Event;Stop Event
Trigger;Trigger;Trigger
Variable Name;Variable Name;Variable Name
Unused variables Log;Unused variables Log;Ungenutzte Variablen Protokoll
Upgrade Data Store;Upgrade Data Store;Data Store Upgrade
Field Name;Field Name;Feldname
Field No.;Field No.;Feld Nr.
Field Value;Field Value;Feld Wert
RecordID;RecordID;Datensatz ID
Table No.;Table No.;Tabelle Nr.
0-Series Entry;0-Series Entry;0-Serien Posten
Created at;Created at;Erstellt am
Created by;Created by;Erstellt von
 ,External,Internal; ,External,Internal; ,Extern,Intern
Last Date Modified By;Last Date Modified By;Aktualisiert von
Routing No.;Routing No.;Arbeitsplan Nr.
Übersicht Debi. Nr. neu;Übersicht Debi. Nr. neu;Übersicht Debi. Nr. neu
Elfo Nr. 1. Übernahme;Elfo Nr. 1. Übernahme;Elfo Nr. 1. Übernahme
Elfo Nr. Neu;Elfo Nr. Neu;Elfo Nr. Neu
WZB Debitorennr. alt;WZB Debitorennr. alt;WZB Debitorennr. alt
EncodeEAN13;EncodeEAN13;[NAB: NOT TRANSLATED]
EncodeCode128;EncodeCode128;[NAB: NOT TRANSLATED]
EncodeCode39;EncodeCode39;[NAB: NOT TRANSLATED]
EncodeEAN8;EncodeEAN8;[NAB: NOT TRANSLATED]
Value to encode should be %1 digits.;Value to encode should be %1 digits.;Der zu kodierende Wert sollte aus %1 Ziffern bestehen.
Only numbers allowed.;Only numbers allowed.;Es sind Nummern erlaubt.
Valid values for the barcode size are 1, 2, 3, 4 & 5;Valid values for the barcode size are 1, 2, 3, 4 & 5;Gültige Werte für die Barcodegrösse sind 1, 2, 3, 4 & 5
Round_Qty;Round_Qty;Menge gerundet
Round_Cost;Round_Cost;[NAB: NOT TRANSLATED]
ContPersOnValidate;ContPersOnValidate;[NAB: NOT TRANSLATED]
ContPersOnLookup;ContPersOnLookup;[NAB: NOT TRANSLATED]
IncstrFunc;IncstrFunc;[NAB: NOT TRANSLATED]
AnsiToAscii;AnsiToAscii;[NAB: NOT TRANSLATED]
AsciiToAnsi;AsciiToAnsi;[NAB: NOT TRANSLATED]
XML_Send;XML_Send;[NAB: NOT TRANSLATED]
FormatDate;FormatDate;[NAB: NOT TRANSLATED]
FormatTime;FormatTime;[NAB: NOT TRANSLATED]
LogFile_Write;LogFile_Write;[NAB: NOT TRANSLATED]
LogFile_Read;LogFile_Read;[NAB: NOT TRANSLATED]
LogFile_Handle;LogFile_Handle;[NAB: NOT TRANSLATED]
WordWrap;WordWrap;[NAB: NOT TRANSLATED]
DeleteNonAscii;DeleteNonAscii;[NAB: NOT TRANSLATED]
NoCompanyPermiss;NoCompanyPermiss;[NAB: NOT TRANSLATED]
CancelFunc;CancelFunc;[NAB: NOT TRANSLATED]
ProdOrdSchedule;ProdOrdSchedule;[NAB: NOT TRANSLATED]
CallX;CallX;[NAB: NOT TRANSLATED]
Barcode128;Barcode128;[NAB: NOT TRANSLATED]
GetStrPosCLRF;GetStrPosCLRF;[NAB: NOT TRANSLATED]
GetCharCRLF;GetCharCRLF;[NAB: NOT TRANSLATED]
GetTableID;GetTableID;[NAB: NOT TRANSLATED]
xGetTableID;xGetTableID;[NAB: NOT TRANSLATED]
"This transaction is for Company ""%1"" not allowed!";"This transaction is for Company ""%1"" not allowed!";"Diese Transaktion ist für Mandant ""%1"" gesperrt!"
Contact %1 %2 is not related to customer %3 %4.;Contact %1 %2 is not related to customer %3 %4.;Kontakt %1 %2 ist nicht mit Debitor %3 %4 verknüpft.
Log_%1.txt;Log_%1.txt;Log_%1.txt
Transaction canceld.;Transaction canceld.;Verarbeitung abgebrochen.
"It is not possible to create then next no, because of the last no ""%1"".";"It is not possible to create then next no, because of the last no ""%1"".";"Eine automatische Vergabe der Nr. ist nicht möglich, da die letzte Nr. ""%1"" ist."
C:\NAV_FileTransfer\AbaCon\elfo.xml;C:\NAV_FileTransfer\AbaCon\elfo.xml;C:\NAV_FileTransfer\AbaCon\elfo.xml
AddDatafusionEventSubscriber;AddDatafusionEventSubscriber;AddDatafusionEventSubscriber
OnBeforeDatafusionImportInsert;OnBeforeDatafusionImportInsert;OnBeforeDatafusionImportInsert
OnAfterDatafusionImportInsert;OnAfterDatafusionImportInsert;OnAfterDatafusionImportInsert
OnAfterDatafusionImportModify;OnAfterDatafusionImportModify;OnAfterDatafusionImportModify
Insert Version Code to Production BOM Line;Insert Version Code to Production BOM Line;Versions Code zu Fert. Stückliste hinzufügen
The Version Code for Production BOM %1 could not be continued;The Version Code for Production BOM %1 could not be continued;Der Version Code für die Fert. Stückliste %1 konnte nicht weitergeführt werden
Cont_ProcessNameChange;Cont_ProcessNameChange;[NAB: NOT TRANSLATED]
Cont_UpdateSearchName;Cont_UpdateSearchName;[NAB: NOT TRANSLATED]
Cont_CalculatedName;Cont_CalculatedName;[NAB: NOT TRANSLATED]
Cont_SendEmail;Cont_SendEmail;[NAB: NOT TRANSLATED]
The total length of first name, middle name and surname is %1 character(s)longer than the maximum length allowed for the Name field.;The total length of first name, middle name and surname is %1 character(s)longer than the maximum length allowed for the Name field.;Die Gesamtlänge von Vorname, zweitem Vornamen und Nachnamen ist %1 Zeichen länger als die zulässige Maximallänge für das Namensfeld.
DocumentPrint_SalesPackList;DocumentPrint_SalesPackList;[NAB: NOT TRANSLATED]
DocumentPrint_PurchOrder;DocumentPrint_PurchOrder;[NAB: NOT TRANSLATED]
DocumentPrint_DeleteSalesTemp;DocumentPrint_DeleteSalesTemp;[NAB: NOT TRANSLATED]
FormatAddress_ShipOrdShipAg;FormatAddress_ShipOrdShipAg;[NAB: NOT TRANSLATED]
FormatAddress_ShipOrdExpo;FormatAddress_ShipOrdExpo;[NAB: NOT TRANSLATED]
FormatAddress_ShipOrdPickUp;FormatAddress_ShipOrdPickUp;[NAB: NOT TRANSLATED]
FormatAddress_ShipOrdNotify;FormatAddress_ShipOrdNotify;[NAB: NOT TRANSLATED]
FormatAddress_GetCtry;FormatAddress_GetCtry;[NAB: NOT TRANSLATED]
Im aktuellen %1 sind %2 Aufträge zugeordnet.\\Die max. Anzahl ist 8, bitte korrigieren.;Im aktuellen %1 sind %2 Aufträge zugeordnet.\\Die max. Anzahl ist 8, bitte korrigieren.;Im aktuellen %1 sind %2 Aufträge zugeordnet.\\Die max. Anzahl ist 8, bitte korrigieren.
"Es existieren keine Zeilen mit ""%1"".";"Es existieren keine Zeilen mit ""%1"".";"Es existieren keine Zeilen mit ""%1""."
"Das ""Arbeitsdatum"" ist auf den ""%1"" eingestellt.\\Ist das i.O. ?";"Das ""Arbeitsdatum"" ist auf den ""%1"" eingestellt.\\Ist das i.O. ?";"Das ""Arbeitsdatum"" ist auf den ""%1"" eingestellt.\\Ist das i.O. ?"
Ansi2Ascii;Ansi2Ascii;[NAB: NOT TRANSLATED]
Ascii2Ansi;Ascii2Ansi;[NAB: NOT TRANSLATED]
CalcAvailableInventoryLoc;CalcAvailableInventoryLoc;[NAB: NOT TRANSLATED]
CalcAvInventoryLocCrMemo;CalcAvInventoryLocCrMemo;[NAB: NOT TRANSLATED]
CalcAvInventoryLocSalesInv;CalcAvInventoryLocSalesInv;[NAB: NOT TRANSLATED]
CalcAvailableInventoryBin;CalcAvailableInventoryBin;[NAB: NOT TRANSLATED]
LookupItemCrMemo;LookupItemCrMemo;[NAB: NOT TRANSLATED]
LookupItemSalesInv;LookupItemSalesInv;[NAB: NOT TRANSLATED]
ShowItemAvailFromSalesCrMemoLine;ShowItemAvailFromSalesCrMemoLine;[NAB: NOT TRANSLATED]
ShowItemAvailFromSalesInvLine;ShowItemAvailFromSalesInvLine;[NAB: NOT TRANSLATED]
CalcAvInventoryPurchLoc;CalcAvInventoryPurchLoc;[NAB: NOT TRANSLATED]
isUniqueItemUoMperItem;isUniqueItemUoMperItem;[NAB: NOT TRANSLATED]
NotUniqueItemUoMperItemError;NotUniqueItemUoMperItemError;[NAB: NOT TRANSLATED]
Item Unit of Measure of type %1 for Item No. %2 already exists;Item Unit of Measure of type %1 for Item No. %2 already exists;[NAB: NOT TRANSLATED]
UserID_StripDomain;UserID_StripDomain;[NAB: NOT TRANSLATED]
User_IsAccountant;User_IsAccountant;[NAB: NOT TRANSLATED]
User_TestIsAccountantWithCaption;User_TestIsAccountantWithCaption;[NAB: NOT TRANSLATED]
User_TestIsAccountant;User_TestIsAccountant;[NAB: NOT TRANSLATED]
TestTemporary;TestTemporary;[NAB: NOT TRANSLATED]
Temp;Temp;Temp
Sie haben keine Berechtigung um auf dieses Objekt zuzugreifen.;Sie haben keine Berechtigung um auf dieses Objekt zuzugreifen.;Sie haben keine Berechtigung um auf dieses Objekt zuzugreifen.
Sie haben keine Berechtigung um auf %1 zuzugreifen.;Sie haben keine Berechtigung um auf %1 zuzugreifen.;Sie haben keine Berechtigung um auf %1 zuzugreifen.
ShowDmsLinks;ShowDmsLinks;[NAB: NOT TRANSLATED]
GetDmsLinkCount;GetDmsLinkCount;[NAB: NOT TRANSLATED]
Processing Record #1 of #2:;Processing Record #1 of #2:;Verarbeitet Datensatz #1 von #2:
Migration step %1 successfully completed.;Migration step %1 successfully completed.;[NAB: NOT TRANSLATED]
Finished Inserting Country Code Job;Finished Inserting Country Code Job;Alle leeren Postleitzahlen befüllt
The Country %1 does not exist;The Country %1 does not exist;Der Ländercode %1 existiert nicht
Transfer 0-Series Data to Routing Header?;Transfer 0-Series Data to Routing Header?;Daten der 0-Serie in die Arbeitspläne übertragen?
Migrate Dispatch Type to Shipping Agent Service/Shipment Methods?;Migrate Dispatch Type to Shipping Agent Service/Shipment Methods?;Versandart zu Spediteurdienst transferieren?
Transfer Item Data to Item Cross Reference?;Transfer Item Data to Item Cross Reference?;Artikel Daten zu Artikel Referenzen übertragen?
Transfer CustomerItem Data to Item Cross Reference?;Transfer CustomerItem Data to Item Cross Reference?;Kundenartikel Daten zu Artikel Referenzen übertragen?
Finished all Jobs;Finished all Jobs;All Jobs abgeschlossen
Migrate the Attributes to Item Attribute?;Migrate the Attributes to Item Attribute?;Attribute Daten zu Artikel Attribute transferieren?
Do you want to setup DMS document types?;Do you want to setup DMS document types?;DMS Dokumenten Typen einrichten?
Transfer Comments?;Transfer Comments?;Bemerkungen übertragen?
Transfer Item Categorys to Config Template?;Transfer Item Categorys to Config Template?;Übertrage Artikel Kategorien in Vorlagen
Insert Country Code %1 in all empty Post Codes?;Insert Country Code %1 in all empty Post Codes?;Ländercode %1 in alle leeren Postleitzahlen einfügen?
Move 3th address format option to last position in country/region table, do you wish to perform this action?;Move 3th address format option to last position in country/region table, do you wish to perform this action?;[NAB: NOT TRANSLATED]
The records have been successfully inserted.;The records have been successfully inserted.;Die Datensätze wurden erfolgreich eingefügt
Finished Item Cross Reference (Item) Job;Finished Item Cross Reference (Item) Job;Artikel Referenzen (Artikel) Job abgeschlossen
Finished Item Cross Reference (CustomerItem) Job;Finished Item Cross Reference (CustomerItem) Job;Artikel Referenzen (Kundenartikel) Job abgeschlossen
No Items with associated Routing Header found;No Items with associated Routing Header found;Keine Artikel mit zugeordnetem Arbeitsplan gefunden
Delete all existing 0-Series Data in new table (Zero-Series Entry)?;Delete all existing 0-Series Data in new table (Zero-Series Entry)?;Alle vorhandenen Daten der 0-Serie in der neuen Tabelle löschen (0-Serien Posten)?
Currently Transfering Item #1 \Item #2 of #3;Currently Transfering Item #1 \Item #2 of #3;Momentan transferierter Artikel #1 \Art #2 von #3
Finished 0-Series Job;Finished 0-Series Job;0-Serien Job beendet
Set_ItemAvailabilityLines_Item;Set_ItemAvailabilityLines_Item;[NAB: NOT TRANSLATED]
Get_ItemAvailabilityLines_Item;Get_ItemAvailabilityLines_Item;[NAB: NOT TRANSLATED]
Set_ItemAvailabilityLines_AmountType;Set_ItemAvailabilityLines_AmountType;[NAB: NOT TRANSLATED]
Get_ItemAvailabilityLines_AmountType;Get_ItemAvailabilityLines_AmountType;[NAB: NOT TRANSLATED]
Set_ItemAvailByLocLines_Item;Set_ItemAvailByLocLines_Item;[NAB: NOT TRANSLATED]
Get_ItemAvailByLocLines_Item;Get_ItemAvailByLocLines_Item;[NAB: NOT TRANSLATED]
Set_ItemAvailByLocLines_AmountType;Set_ItemAvailByLocLines_AmountType;[NAB: NOT TRANSLATED]
Get_ItemAvailByLocLines_AmountType;Get_ItemAvailByLocLines_AmountType;[NAB: NOT TRANSLATED]
Set_ItemAvailByLocLines_PeriodStart;Set_ItemAvailByLocLines_PeriodStart;[NAB: NOT TRANSLATED]
Get_ItemAvailByLocLines_PeriodStart;Get_ItemAvailByLocLines_PeriodStart;[NAB: NOT TRANSLATED]
Set_ItemAvailByLocLines_PeriodEnd;Set_ItemAvailByLocLines_PeriodEnd;[NAB: NOT TRANSLATED]
Get_ItemAvailByLocLines_PeriodEnd;Get_ItemAvailByLocLines_PeriodEnd;[NAB: NOT TRANSLATED]
Set_ItemTurnoverLines_Item;Set_ItemTurnoverLines_Item;[NAB: NOT TRANSLATED]
Get_ItemTurnoverLines_Item;Get_ItemTurnoverLines_Item;[NAB: NOT TRANSLATED]
Set_PurchaseLine_PurchHeader;Set_PurchaseLine_PurchHeader;[NAB: NOT TRANSLATED]
Get_PurchaseLine_PurchHeader;Get_PurchaseLine_PurchHeader;[NAB: NOT TRANSLATED]
Set_SalesLine_SalesHeader;Set_SalesLine_SalesHeader;[NAB: NOT TRANSLATED]
Get_SalesLine_SalesHeader;Get_SalesLine_SalesHeader;[NAB: NOT TRANSLATED]
A variant code is required for item %1;A variant code is required for item %1;Für Artikel %1 muss zwingend eine Variante angegeben werden
GetItemFilterByReferences;GetItemFilterByReferences;[NAB: NOT TRANSLATED]
Filter by Reference No.;Filter by Reference No.;Nach Referenzen filtern
Do you really want to finish this line?;Do you really want to finish this line?;Möchten Sie die  Zeile wirklich abschliessen?
Process canelled;Process canelled;Prozess abgebrochen
You cannot change %1 because there are one or more ledger entries for this item.;You cannot change %1 because there are one or more ledger entries for this item.;Sie können %1 nicht ändern, da Buchungen auf diesem Artikel vorhanden sind.
ItemJnlPostBatch_UpdateBundle;ItemJnlPostBatch_UpdateBundle;[NAB: NOT TRANSLATED]
ItemJnlPostBatch_CreateUnattend;ItemJnlPostBatch_CreateUnattend;[NAB: NOT TRANSLATED]
ItemJnlPost_CreateUnattend;ItemJnlPost_CreateUnattend;[NAB: NOT TRANSLATED]
ItemJnlPost_CreateUnattendLine;ItemJnlPost_CreateUnattendLine;[NAB: NOT TRANSLATED]
The journal contains bundle errors.;The journal contains bundle errors.;Das Journal enthält Gebindefehler.
cannot be filtered when posting recurring journals;cannot be filtered when posting recurring journals;Es kann nicht gefiltert werden wenn das Journal gebucht wird
Do you want to post the journal lines?;Do you want to post the journal lines?;Möchten Sie die Journalzeilen buchen?
UpdateItemTrackingLines;UpdateItemTrackingLines;[NAB: NOT TRANSLATED]
Item Tracking lines has been updated.;Item Tracking lines has been updated.;[NAB: NOT TRANSLATED]
Nothing update.;Nothing update.;[NAB: NOT TRANSLATED]
RoutingLineCopyLines_CreateRtngVersion;RoutingLineCopyLines_CreateRtngVersion;[NAB: NOT TRANSLATED]
CopySalesDocuments;CopySalesDocuments;Verkaufsdokumente drucken
PrintAt;PrintAt;Drucken an
PrintBy;PrintBy;[NAB: NOT TRANSLATED]
PrintAtVari;PrintAtVari;[NAB: NOT TRANSLATED]
PrintPage;PrintPage;[NAB: NOT TRANSLATED]
GetPerio;GetPerio;[NAB: NOT TRANSLATED]
GetExclIncl;GetExclIncl;[NAB: NOT TRANSLATED]
GetBoolean;GetBoolean;[NAB: NOT TRANSLATED]
GetPlaceHolder;GetPlaceHolder;[NAB: NOT TRANSLATED]
xxxTotalTxt;xxxTotalTxt;[NAB: NOT TRANSLATED]
CalcAmou;CalcAmou;[NAB: NOT TRANSLATED]
CalcPCT;CalcPCT;[NAB: NOT TRANSLATED]
SetAltAddr;SetAltAddr;[NAB: NOT TRANSLATED]
GetPageTxt;GetPageTxt;[NAB: NOT TRANSLATED]
GetCopyTxt;GetCopyTxt;[NAB: NOT TRANSLATED]
GetShipTxt;GetShipTxt;[NAB: NOT TRANSLATED]
GetQtyShippedTxt;GetQtyShippedTxt;[NAB: NOT TRANSLATED]
GetItemRefTxt;GetItemRefTxt;[NAB: NOT TRANSLATED]
GetVatPctTxt;GetVatPctTxt;[NAB: NOT TRANSLATED]
GetPriceTxt;GetPriceTxt;[NAB: NOT TRANSLATED]
GetDiscTxt;GetDiscTxt;[NAB: NOT TRANSLATED]
GetTotalTxt;GetTotalTxt;[NAB: NOT TRANSLATED]
GetNetAmouTxt;GetNetAmouTxt;[NAB: NOT TRANSLATED]
GetGrossAmouTxt;GetGrossAmouTxt;[NAB: NOT TRANSLATED]
GetGrossAmouCreditTxt;GetGrossAmouCreditTxt;[NAB: NOT TRANSLATED]
GetAmouTxt;GetAmouTxt;[NAB: NOT TRANSLATED]
GetPackTxt;GetPackTxt;[NAB: NOT TRANSLATED]
PrepPurchHeader;PrepPurchHeader;[NAB: NOT TRANSLATED]
PrepPurchFooter;PrepPurchFooter;[NAB: NOT TRANSLATED]
PrepSalesHeader;PrepSalesHeader;[NAB: NOT TRANSLATED]
PrepSalesFooter;PrepSalesFooter;[NAB: NOT TRANSLATED]
ClearSalesFooter;ClearSalesFooter;[NAB: NOT TRANSLATED]
at: %1;at: %1;per: %1
Delivery Date: %1;Delivery Date: %1;Lieferdatum: %1
excl.;excl.;exkl.
- page 1 of 2 -;- page 1 of 2 -;- Seite 1 von 2 -
incl.;incl.;inkl.
Key Date: %1;Key Date: %1;Stichtag: %1
only;only;nur
Page %1;Page %1;Seite %1
 / Page %1; / Page %1; / Seite %1
Period: %1;Period: %1;Periode: %1
printed as at %1;printed as at %1;gedruckt per %1
by %1;by %1;durch %1
 at %1; at %1; um %1
 / %1; / %1; / %1
Amount in %1;Amount in %1;Wert in %1
COPY;COPY;KOPIE
Disc. %;Disc. %;Rab. %
Credit Note Amount in %1;Credit Note Amount in %1;Gutschriftsbetrag in %1
Invoice Amount in %1;Invoice Amount in %1;Rechnungsrabatt in %1
Your Ref.: %1;Your Ref.: %1;Ihre Ref.: %1
Net Amount in %1;Net Amount in %1;Nettobetrag in %1
Page:  %1;Page:  %1;Seite: %1
Price in %1;Price in %1;Preis in %1
already delivered;already delivered;bereits gelifert
Shipping Date\(leaving);Shipping Date\(leaving);Liefertermin\(abgehend)
Total in %1;Total in %1;Total in %1
VAT %1%;VAT %1%;MwSt. %1%
Our general conditions of sale and delivery dated June 2006 are valid, which can be found on our homepage.  ;Our general conditions of sale and delivery dated June 2006 are valid, which can be found on our homepage.  ;Es gelten unsere allg. Einkaufsbedingungen vom November 2006, welche Sie auf unserer Homepage finden. 
Payment;Payment;Zahlung
Bankaccount;Bankaccount;Bankverbindung
%1, %2-%3 %4, Account: %5;%1, %2-%3 %4, Account: %5;%1, %2-%3 %4, Kto.: %5
SWIFT: %1, IBAN: %2;SWIFT: %1, IBAN: %2;SWIFT: %1, IBAN: %2
Delivery;Delivery;Lieferung
%1, %2, INCOTERMS 2010;%1, %2, INCOTERMS 2010;%1, INCOTERMS 2010
Package;Package;Verpackung
%1 %2 = %3 %4;%1 %2 = %3 %4;%1 %2 = %3 %4
Weight gros;Weight gros;Gewicht brutto
Weight net;Weight net;Gewicht netto
Volume;Volume;Volumen
%1 kg;%1 kg;%1 kg
